GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EJBCA EJB Library,org.ejbca.core.ejb.audit,EjbcaAuditorSessionBean,251,0,64,0,49,0,37,0,5,0
EJBCA EJB Library,org.ejbca.core.ejb.authentication.web,WebAuthenticationProviderSessionBean,200,0,12,0,37,0,11,0,5,0
EJBCA EJB Library,org.ejbca.core.ejb.hardtoken,EjbcaHardTokenBatchJobSessionBean,306,0,26,0,74,0,20,0,7,0
EJBCA EJB Library,org.ejbca.core.ejb.hardtoken,HardTokenSessionBean.new ProfileID.DB() {...},17,0,2,0,2,0,3,0,2,0
EJBCA EJB Library,org.ejbca.core.ejb.hardtoken,HardTokenSessionBean.new ProfileID.DB() {...},17,0,2,0,2,0,3,0,2,0
EJBCA EJB Library,org.ejbca.core.ejb.hardtoken,HardTokenSessionBean,3235,0,273,0,705,0,196,0,57,0
EJBCA EJB Library,org.ejbca.core.ejb.ra,CertificateRequestSessionBean,571,0,48,0,157,0,31,0,7,0
EJBCA EJB Library,org.ejbca.core.ejb.ra,EndEntityAccessSessionBean,1460,0,184,0,327,0,123,0,31,0
EJBCA EJB Library,org.ejbca.core.ejb.ra,KeyStoreCreateSessionBean,605,0,84,0,130,0,47,0,5,0
EJBCA EJB Library,org.ejbca.core.ejb.ra,EndEntityManagementSessionBean,5567,0,614,0,1188,0,360,0,53,0
EJBCA EJB Library,org.ejbca.core.ejb.rest,EjbcaRestHelperSessionBean,110,234,17,11,19,62,14,11,2,9
EJBCA EJB Library,org.ejbca.core.ejb.ca.validation,BlacklistSessionBean.new ProfileID.DB() {...},16,0,2,0,2,0,3,0,2,0
EJBCA EJB Library,org.ejbca.core.ejb.ca.validation,BlacklistSessionBean,616,0,72,0,136,0,52,0,16,0
EJBCA EJB Library,org.ejbca.util.cert,SeisCardNumberExtension,31,0,4,0,11,0,4,0,2,0
EJBCA EJB Library,org.ejbca.util,SimpleMock,154,0,12,0,39,0,10,0,4,0
EJBCA EJB Library,org.ejbca.util,SimpleMock.MockInvocationHandler,97,0,22,0,29,0,13,0,2,0
EJBCA EJB Library,org.ejbca.util,FairStringLock,200,0,26,0,57,0,18,0,5,0
EJBCA EJB Library,org.ejbca.util,SqlExecutor,281,0,28,0,79,0,23,0,9,0
EJBCA EJB Library,org.ejbca.util,EjbDependencyGraphTool,475,0,52,0,102,0,32,0,6,0
EJBCA EJB Library,org.ejbca.util,EjbDependencyGraphTool.BeanInfo,133,0,20,0,25,0,12,0,2,0
EJBCA EJB Library,org.ejbca.util,ObjectCache,11,67,1,3,5,16,3,4,2,3
EJBCA EJB Library,org.ejbca.util,Base64GetHashMap,26,0,4,0,11,0,5,0,3,0
EJBCA EJB Library,org.ejbca.core.ejb.ra.raadmin,AdminPreferenceSessionBean,678,0,82,0,169,0,59,0,18,0
EJBCA EJB Library,org.ejbca.core.ejb.ra.raadmin,RaStyleCacheBean,140,0,14,0,31,0,14,0,7,0
EJBCA EJB Library,org.ejbca.core.ejb.ra.raadmin,EndEntityProfileCache,236,0,20,0,55,0,16,0,6,0
EJBCA EJB Library,org.ejbca.core.ejb.ra.raadmin,EndEntityProfileSessionBean,1754,0,178,0,359,0,119,0,30,0
EJBCA EJB Library,org.ejbca.core.ejb.ra.raadmin,EndEntityProfileSessionBean.new ProfileID.DB() {...},16,0,2,0,2,0,3,0,2,0
EJBCA EJB Library,org.ejbca.core.model.ra.userdatasource,UserDataSourceDoesntExistsException,7,0,0,0,4,0,2,0,2,0
EJBCA EJB Library,org.ejbca.core.ejb.upgrade,LegacyRoleManagementSessionBean.new ProfileID.DB() {...},18,0,2,0,2,0,3,0,2,0
EJBCA EJB Library,org.ejbca.core.ejb.upgrade,UpgradeStatusSingletonBean.new LinkedList() {...},29,0,6,0,7,0,5,0,2,0
EJBCA EJB Library,org.ejbca.core.ejb.upgrade,UpgradeStatusSingletonBean.new Appender() {...},30,0,0,0,14,0,13,0,13,0
EJBCA EJB Library,org.ejbca.core.ejb.upgrade,UpgradeSessionBean,3357,0,306,0,832,0,199,0,46,0
EJBCA EJB Library,org.ejbca.core.ejb.upgrade,LegacyRoleManagementSessionBean,902,0,74,0,182,0,56,0,19,0
EJBCA EJB Library,org.ejbca.core.ejb.upgrade,UpgradeStatusSingletonBean,56,0,2,0,14,0,8,0,7,0
EJBCA EJB Library,org.ejbca.core.model.era,RaMasterApiProxyBean,6085,0,1126,0,1490,0,680,0,117,0
EJBCA EJB Library,org.ejbca.core.model.era,RaMasterApiSessionBean,6154,0,756,0,1312,0,503,0,124,0
EJBCA EJB Library,org.ejbca.core.protocol.scep,ScepMessageDispatcherSessionBean,488,0,78,0,128,0,45,0,6,0
EJBCA EJB Library,org.ejbca.core.ejb.authentication.cli,CliAuthenticationProviderSessionBean,157,0,12,0,39,0,10,0,4,0
